"YEAR","STATE.NAME","STATE.ABB","STATE.RANK","SENATE.D","SENATE.R","SENATE.I","SENATE.WOMEN","SENATE.TOTAL","HOUSE.D","HOUSE.R","HOUSE.I","HOUSE.WOMEN","HOUSE.TOTAL","TOTAL.WOMEN","TOTAL.LEGISLATURE","PERCENT.WOMEN"
2014,"Alabama","AL",47,4,0,1,5,35,9,6,NA,15,105,20,140,14.3
2013,"Alabama","AL",47,4,0,1,5,35,9,5,NA,14,105,19,140,13.6
2012,"Alabama","AL",47,4,0,1,5,35,9,5,NA,14,105,19,140,13.6
2011,"Alabama","AL",48,4,0,1,5,35,9,5,NA,14,105,19,140,13.6
2010,"Alabama","AL",48,4,0,1,5,35,10,3,NA,13,105,18,140,12.9
2009,"Alabama","AL",48,4,1,NA,5,35,10,3,NA,13,105,18,140,12.9
2008,"Alabama","AL",48,3,1,NA,4,35,11,3,NA,14,105,18,140,12.9
2007,"Alabama","AL",47,3,1,NA,4,35,11,3,NA,14,105,18,140,12.9
2006,"Alabama","AL",49,2,1,NA,3,35,11,2,NA,13,105,16,140,11.4
2005,"Alabama","AL",49,2,1,NA,3,35,10,2,NA,12,105,15,140,10.7
2004,"Alabama","AL",49,2,1,NA,3,35,9,2,NA,11,105,14,140,10
2003,"Alabama","AL",49,2,1,NA,3,35,9,2,NA,11,105,14,140,10
2002,"Alabama","AL",50,2,1,NA,3,35,6,2,NA,8,105,11,140,7.9
2001,"Alabama","AL",50,2,1,NA,3,35,6,2,NA,8,105,11,140,7.9
2000,"Alabama","AL",50,2,1,NA,3,35,6,2,NA,8,105,11,140,7.9
1999,"Alabama","AL",50,2,1,NA,3,35,6,2,NA,8,105,11,140,7.9
1998,"Alabama","AL",50,2,0,NA,2,35,4,0,NA,4,105,6,140,4.3
1997,"Alabama","AL",50,2,0,NA,2,35,4,0,NA,4,105,6,140,4.3
1996,"Alabama","AL",50,1,0,NA,1,35,4,0,NA,4,105,5,140,3.6
1995,"Alabama","AL",50,1,0,NA,1,35,4,0,NA,4,105,5,140,3.6
1994,"Alabama","AL",50,1,1,NA,2,35,6,0,NA,6,105,8,140,5.7
1993,"Alabama","AL",49,1,1,NA,2,35,6,0,NA,6,105,8,140,5.7
1992,"Alabama","AL",50,0,1,NA,1,35,7,0,NA,7,105,8,140,5.7
1991,"Alabama","AL",48,0,1,NA,1,35,7,0,NA,7,105,8,140,5.7
1990,"Alabama","AL",49,0,1,NA,1,35,7,0,NA,7,105,8,140,5.7
1989,"Alabama","AL",48,0,1,NA,1,35,7,0,NA,7,105,8,140,5.7
1988,"Alabama","AL",49,0,1,NA,1,35,7,0,NA,7,105,8,140,5.7
1987,"Alabama","AL",47,0,1,NA,1,35,7,0,NA,7,105,8,140,5.7
1986,"Alabama","AL",46,1,1,NA,2,35,7,0,NA,7,105,9,140,6.4
1985,"Alabama","AL",46,1,1,NA,2,35,7,0,NA,7,105,9,140,6.4
1984,"Alabama","AL",46,1,1,NA,2,35,7,0,NA,7,105,9,140,6.4
1983,"Alabama","AL",47,0,1,NA,1,35,5,0,NA,5,105,6,140,4.3
1981,"Alabama","AL",47,0,0,NA,0,35,5,1,NA,6,105,6,140,4.3
1979,"Alabama","AL",48,NA,NA,NA,0,35,NA,NA,NA,4,105,4,140,2.9
1977,"Alabama","AL",48,NA,NA,NA,0,35,NA,NA,NA,3,105,3,140,2.1
1975,"Alabama","AL",50,NA,NA,NA,0,35,NA,NA,NA,1,105,1,140,0.7
2014,"Indiana","IN",35,3,5,NA,8,50,12,10,NA,22,100,30,150,20
2013,"Indiana","IN",34,3,5,NA,8,50,12,11,NA,23,100,31,150,20.7
2012,"Indiana","IN",33,4,7,NA,11,50,11,10,NA,21,100,32,150,21.3
2011,"Indiana","IN",32,4,7,NA,11,50,11,10,NA,21,100,32,150,21.3
2010,"Indiana","IN",35,6,6,NA,12,50,13,7,NA,20,100,32,150,21.3
2009,"Indiana","IN",33,6,6,NA,12,50,13,7,NA,20,100,32,150,21.3
2008,"Indiana","IN",36,6,6,NA,12,50,10,6,NA,16,100,28,150,18.7
2007,"Indiana","IN",33,6,6,NA,12,50,11,6,NA,17,100,29,150,19.3
2006,"Indiana","IN",35,6,6,NA,12,50,8,7,NA,15,100,27,150,18
2005,"Indiana","IN",36,6,6,NA,12,50,7,7,NA,14,100,26,150,17.3
2004,"Indiana","IN",36,7,6,NA,13,50,7,7,NA,14,100,27,150,18
2003,"Indiana","IN",36,7,6,NA,13,50,7,7,NA,14,100,27,150,18
2002,"Indiana","IN",36,6,6,NA,12,50,7,7,NA,14,100,26,150,17.3
2001,"Indiana","IN",36,6,6,NA,12,50,7,7,NA,14,100,26,150,17.3
2000,"Indiana","IN",35,7,6,NA,13,50,7,7,NA,14,100,27,150,18
1999,"Indiana","IN",35,7,6,NA,13,50,7,7,NA,14,100,27,150,18
1998,"Indiana","IN",29,7,7,NA,14,50,6,8,NA,14,100,28,150,18.7
1997,"Indiana","IN",28,7,7,NA,14,50,6,8,NA,14,100,28,150,18.7
1996,"Indiana","IN",23,7,7,NA,14,50,6,13,NA,19,100,33,150,22
1995,"Indiana","IN",23,7,7,NA,14,50,6,13,NA,19,100,33,150,22
1994,"Indiana","IN",29,7,6,NA,13,50,7,9,NA,16,100,29,150,19.3
1993,"Indiana","IN",28,7,6,NA,13,50,7,9,NA,16,100,29,150,19.3
1992,"Indiana","IN",26,7,5,NA,12,50,7,7,NA,14,100,26,150,17.3
1991,"Indiana","IN",26,7,5,NA,12,50,7,7,NA,14,100,26,150,17.3
1990,"Indiana","IN",33,6,5,NA,11,50,4,6,NA,10,100,21,150,14
1989,"Indiana","IN",33,6,5,NA,11,50,5,6,NA,11,100,22,150,14.7
1988,"Indiana","IN",32,5,3,NA,8,50,5,6,NA,11,100,19,150,12.7
1987,"Indiana","IN",32,5,3,NA,8,50,5,6,NA,11,100,19,150,12.7
1986,"Indiana","IN",29,3,3,NA,6,50,7,6,NA,13,100,19,150,12.7
1985,"Indiana","IN",29,3,3,NA,6,50,7,6,NA,13,100,19,150,12.7
1984,"Indiana","IN",28,2,2,NA,4,50,6,8,NA,14,100,18,150,12
1983,"Indiana","IN",28,2,2,NA,4,50,6,8,NA,14,100,18,150,12
1981,"Indiana","IN",35,2,2,NA,4,50,3,5,NA,8,100,12,150,8
1979,"Indiana","IN",32,NA,NA,NA,3,50,NA,NA,NA,8,100,11,150,7.3
1977,"Indiana","IN",33,NA,NA,NA,3,50,NA,NA,NA,6,100,9,150,6
1975,"Indiana","IN",29,NA,NA,NA,3,50,NA,NA,NA,6,100,9,150,6
2014,"Rhode Island","RI",20,9,0,NA,9,38,19,2,NA,21,75,30,113,26.5
2013,"Rhode Island","RI",19,9,0,NA,9,38,19,2,NA,21,75,30,113,26.5
2012,"Rhode Island","RI",18,9,1,NA,10,38,17,2,NA,19,75,29,113,25.7
2011,"Rhode Island","RI",20,9,1,NA,10,38,17,2,NA,19,75,29,113,25.7
2010,"Rhode Island","RI",30,8,0,NA,8,38,17,0,NA,17,75,25,113,22.1
2009,"Rhode Island","RI",29,8,0,NA,8,38,17,0,NA,17,75,25,113,22.1
2008,"Rhode Island","RI",33,6,1,NA,7,38,13,2,NA,15,75,22,113,19.5
2007,"Rhode Island","RI",31,6,1,NA,7,38,13,2,NA,15,75,22,113,19.5
2006,"Rhode Island","RI",40,7,1,NA,8,38,9,2,NA,11,75,19,113,16.8
2005,"Rhode Island","RI",37,7,1,NA,8,38,9,2,NA,11,75,19,113,16.8
2004,"Rhode Island","RI",31,7,2,NA,9,38,11,3,NA,14,75,23,113,20.4
2003,"Rhode Island","RI",32,7,2,NA,9,38,10,3,NA,13,75,22,113,19.5
2002,"Rhode Island","RI",25,8,2,NA,10,50,20,4,NA,24,100,34,150,22.7
2001,"Rhode Island","RI",23,8,2,NA,10,50,20,4,NA,24,100,34,150,22.7
2000,"Rhode Island","RI",19,9,2,NA,11,50,22,4,NA,26,100,37,150,24.7
1999,"Rhode Island","RI",17,9,2,NA,11,50,22,5,NA,27,100,38,150,25.3
1998,"Rhode Island","RI",13,8,3,NA,11,50,22,6,NA,28,100,39,150,26
1997,"Rhode Island","RI",13,8,3,NA,11,50,22,6,NA,28,100,39,150,26
1996,"Rhode Island","RI",17,8,2,NA,10,50,20,6,NA,26,100,36,150,24
1995,"Rhode Island","RI",17,8,2,NA,10,50,20,6,NA,26,100,36,150,24
1994,"Rhode Island","RI",15,9,2,NA,11,50,18,8,NA,26,100,37,150,24.7
1993,"Rhode Island","RI",14,9,2,NA,11,50,18,8,NA,26,100,37,150,24.7
1992,"Rhode Island","RI",27,7,2,NA,9,50,11,5,NA,16,100,25,150,16.7
1991,"Rhode Island","RI",28,6,2,NA,8,50,11,5,NA,16,100,24,150,16
1990,"Rhode Island","RI",28,5,4,NA,9,50,11,3,NA,14,100,23,150,15.3
1989,"Rhode Island","RI",28,5,4,NA,9,50,11,3,NA,14,100,23,150,15.3
1988,"Rhode Island","RI",22,5,5,NA,10,50,10,4,NA,14,100,24,150,16
1987,"Rhode Island","RI",22,5,5,NA,10,50,10,4,NA,14,100,24,150,16
1986,"Rhode Island","RI",23,3,5,NA,8,50,11,4,NA,15,100,23,150,15.3
1985,"Rhode Island","RI",23,3,5,NA,8,50,11,4,NA,15,100,23,150,15.3
1984,"Rhode Island","RI",17,1,8,NA,9,50,10,3,NA,13,100,22,150,14.7
1983,"Rhode Island","RI",26,4,1,NA,5,50,10,4,NA,14,100,19,150,12.7
1981,"Rhode Island","RI",28,4,1,NA,5,50,8,2,NA,10,100,15,150,10
1979,"Rhode Island","RI",25,NA,NA,NA,4,50,NA,NA,NA,9,100,13,150,8.7
1977,"Rhode Island","RI",26,NA,NA,NA,4,50,NA,NA,NA,7,100,11,150,7.3
1975,"Rhode Island","RI",29,NA,NA,NA,2,50,NA,NA,NA,7,100,9,150,6
2014,"Alaska","AK",17,1,3,NA,4,20,2,10,NA,12,40,16,60,26.7
2013,"Alaska","AK",14,1,3,NA,4,20,3,10,NA,13,40,17,60,28.3
2012,"Alaska","AK",21,1,3,NA,4,20,4,7,NA,11,40,15,60,25
2011,"Alaska","AK",27,1,3,NA,4,20,4,6,NA,10,40,14,60,23.3
2010,"Alaska","AK",34,1,2,NA,3,20,4,6,NA,10,40,13,60,21.7
2009,"Alaska","AK",32,1,2,NA,3,20,4,6,NA,10,40,13,60,21.7
2008,"Alaska","AK",28,1,2,NA,3,20,6,4,NA,10,40,13,60,21.7
2007,"Alaska","AK",27,1,2,NA,3,20,6,4,NA,10,40,13,60,21.7
2006,"Alaska","AK",34,2,1,NA,3,20,4,4,NA,8,40,11,60,18.3
2005,"Alaska","AK",32,2,1,NA,3,20,4,4,NA,8,40,11,60,18.3
2004,"Alaska","AK",32,3,1,NA,4,20,3,5,NA,8,40,12,60,20
2003,"Alaska","AK",30,3,1,NA,4,20,3,5,NA,8,40,12,60,20
2002,"Alaska","AK",32,2,1,NA,3,20,4,5,NA,9,40,12,60,20
2001,"Alaska","AK",30,2,2,NA,4,20,4,5,NA,9,40,13,60,21.7
2000,"Alaska","AK",33,1,2,NA,3,20,3,5,NA,8,40,11,60,18.3
1999,"Alaska","AK",33,1,2,NA,3,20,3,5,NA,8,40,11,60,18.3
1998,"Alaska","AK",43,1,2,NA,3,20,1,4,NA,5,40,8,60,13.3
1997,"Alaska","AK",43,1,2,NA,3,20,1,4,NA,5,40,8,60,13.3
1996,"Alaska","AK",21,2,2,NA,4,20,4,5,1,10,40,14,60,23.3
1995,"Alaska","AK",21,2,2,NA,4,20,4,5,1,10,40,14,60,23.3
1994,"Alaska","AK",23,3,1,NA,4,20,5,4,NA,9,40,13,60,21.7
1993,"Alaska","AK",21,3,1,NA,4,20,5,4,NA,9,40,13,60,21.7
1992,"Alaska","AK",15,1,3,NA,4,20,5,5,NA,10,40,14,60,23.3
1991,"Alaska","AK",14,1,3,NA,4,20,5,5,NA,10,40,14,60,23.3
1990,"Alaska","AK",16,1,3,NA,4,20,4,4,NA,8,40,12,60,20
1989,"Alaska","AK",14,1,3,NA,4,20,5,4,NA,9,40,13,60,21.7
1988,"Alaska","AK",14,1,2,NA,3,20,5,4,NA,9,40,12,60,20
1987,"Alaska","AK",14,1,2,NA,3,20,5,4,NA,9,40,12,60,20
1986,"Alaska","AK",15,1,3,NA,4,20,4,3,NA,7,40,11,60,18.3
1985,"Alaska","AK",15,1,3,NA,4,20,4,3,NA,7,40,11,60,18.3
1984,"Alaska","AK",22,1,2,NA,3,20,2,3,NA,5,40,8,60,13.3
1983,"Alaska","AK",20,1,2,NA,3,20,2,3,NA,5,40,8,60,13.3
1981,"Alaska","AK",28,1,1,NA,2,20,3,1,NA,4,40,6,60,10
1979,"Alaska","AK",14,NA,NA,NA,2,20,NA,NA,NA,5,40,7,60,11.7
1977,"Alaska","AK",28,NA,NA,NA,1,20,NA,NA,NA,3,40,4,60,6.7
1975,"Alaska","AK",5,NA,NA,NA,2,20,NA,NA,NA,7,40,9,60,15
2014,"Iowa","IA",27,6,4,NA,10,50,19,6,NA,25,100,35,150,23.3
2013,"Iowa","IA",27,6,4,NA,10,50,19,6,NA,25,100,35,150,23.3
2012,"Iowa","IA",33,4,4,NA,8,50,16,8,NA,24,100,32,150,21.3
2011,"Iowa","IA",32,4,4,NA,8,50,16,8,NA,24,100,32,150,21.3
2010,"Iowa","IA",27,6,3,NA,9,50,20,6,NA,26,100,35,150,23.3
2009,"Iowa","IA",26,6,3,NA,9,50,20,6,NA,26,100,35,150,23.3
2008,"Iowa","IA",26,3,3,NA,6,50,19,9,NA,28,100,34,150,22.7
2007,"Iowa","IA",25,3,3,NA,6,50,19,9,NA,28,100,34,150,22.7
2006,"Iowa","IA",30,1,4,NA,5,50,17,8,NA,25,100,30,150,20
2005,"Iowa","IA",29,1,4,NA,5,50,17,8,NA,25,100,30,150,20
2004,"Iowa","IA",26,1,6,NA,7,50,16,9,NA,25,100,32,150,21.3
2003,"Iowa","IA",27,1,6,NA,7,50,16,9,NA,25,100,32,150,21.3
2002,"Iowa","IA",27,3,8,NA,11,50,12,10,NA,22,100,33,150,22
2001,"Iowa","IA",27,3,8,NA,11,50,12,10,NA,22,100,33,150,22
2000,"Iowa","IA",29,4,7,NA,11,50,9,11,NA,20,100,31,150,20.7
1999,"Iowa","IA",27,4,7,NA,11,50,10,11,NA,21,100,32,150,21.3
1998,"Iowa","IA",26,5,7,NA,12,50,10,10,NA,20,100,32,150,21.3
1997,"Iowa","IA",26,5,7,NA,12,50,10,10,NA,20,100,32,150,21.3
1996,"Iowa","IA",35,4,6,NA,10,50,7,10,NA,17,100,27,150,18
1995,"Iowa","IA",35,4,6,NA,10,50,7,10,NA,17,100,27,150,18
1994,"Iowa","IA",38,4,3,NA,7,50,8,8,NA,16,100,23,150,15.3
1993,"Iowa","IA",37,4,2,NA,6,50,8,8,NA,16,100,22,150,14.7
1992,"Iowa","IA",32,4,2,NA,6,50,11,5,NA,16,100,22,150,14.7
1991,"Iowa","IA",31,4,2,NA,6,50,11,5,NA,16,100,22,150,14.7
1990,"Iowa","IA",24,3,3,NA,6,50,13,6,NA,19,100,25,150,16.7
1989,"Iowa","IA",24,3,3,NA,6,50,13,6,NA,19,100,25,150,16.7
1988,"Iowa","IA",29,2,2,NA,4,50,11,7,NA,18,100,22,150,14.7
1987,"Iowa","IA",29,2,2,NA,4,50,11,7,NA,18,100,22,150,14.7
1986,"Iowa","IA",24,1,2,NA,3,50,13,6,NA,19,100,22,150,14.7
1985,"Iowa","IA",24,1,2,NA,3,50,13,6,NA,19,100,22,150,14.7
1984,"Iowa","IA",30,0,1,NA,1,50,11,5,NA,16,100,17,150,11.3
1983,"Iowa","IA",31,0,1,NA,1,50,11,5,NA,16,100,17,150,11.3
1981,"Iowa","IA",17,0,2,NA,2,50,6,10,NA,16,100,18,150,12
1979,"Iowa","IA",18,NA,NA,NA,4,50,NA,NA,NA,11,100,15,150,10
1977,"Iowa","IA",14,NA,NA,NA,4,50,NA,NA,NA,13,100,17,150,11.3
1975,"Iowa","IA",17,NA,NA,NA,4,50,NA,NA,NA,10,100,14,150,9.3
2014,"Nevada","NV",14,3,1,NA,4,21,12,2,NA,14,42,18,63,28.6
2013,"Nevada","NV",13,3,1,NA,4,21,12,2,NA,14,42,18,63,28.6
2012,"Nevada","NV",20,3,1,NA,4,21,11,1,NA,12,42,16,63,25.4
2011,"Nevada","NV",11,4,2,NA,6,21,11,1,NA,12,42,18,63,28.6
2010,"Nevada","NV",9,6,1,NA,7,21,11,2,NA,13,42,20,63,31.7
2009,"Nevada","NV",7,6,1,NA,7,21,11,2,NA,13,42,20,63,31.7
2008,"Nevada","NV",13,5,1,NA,6,21,10,3,NA,13,42,19,63,30.2
2007,"Nevada","NV",13,5,1,NA,6,21,10,3,NA,13,42,19,63,30.2
2006,"Nevada","NV",3,4,2,NA,6,21,11,4,NA,15,42,21,63,33.3
2005,"Nevada","NV",3,4,2,NA,6,21,11,4,NA,15,42,21,63,33.3
2004,"Nevada","NV",10,4,3,NA,7,21,8,3,NA,11,42,18,63,28.6
2003,"Nevada","NV",10,4,3,NA,7,21,8,3,NA,11,42,18,63,28.6
2002,"Nevada","NV",3,4,1,NA,5,21,11,6,NA,17,42,22,63,34.9
2001,"Nevada","NV",3,4,1,NA,5,21,11,6,NA,17,42,22,63,34.9
2000,"Nevada","NV",3,4,1,NA,5,21,11,6,NA,17,42,22,63,34.9
1999,"Nevada","NV",2,4,1,NA,5,21,12,6,NA,18,42,23,63,36.5
1998,"Nevada","NV",4,3,2,NA,5,21,10,6,NA,16,42,21,63,33.3
1997,"Nevada","NV",4,3,2,NA,5,21,10,6,NA,16,42,21,63,33.3
1996,"Nevada","NV",2,2,3,NA,5,21,9,8,NA,17,42,22,63,34.9
1995,"Nevada","NV",2,2,3,NA,5,21,9,8,NA,17,42,22,63,34.9
1994,"Nevada","NV",13,3,2,NA,5,21,8,3,NA,11,42,16,63,25.4
1993,"Nevada","NV",12,3,2,NA,5,21,9,3,NA,12,42,17,63,27
1992,"Nevada","NV",20,2,2,NA,4,21,6,2,NA,8,42,12,63,19
1991,"Nevada","NV",20,2,2,NA,4,21,6,2,NA,8,42,12,63,19
1990,"Nevada","NV",13,2,2,NA,4,21,8,2,NA,10,42,14,63,22.2
1989,"Nevada","NV",15,1,2,NA,3,21,8,2,NA,10,42,13,63,20.6
1988,"Nevada","NV",23,0,2,NA,2,21,6,2,NA,8,42,10,63,15.9
1987,"Nevada","NV",23,0,2,NA,2,21,6,2,NA,8,42,10,63,15.9
1986,"Nevada","NV",22,1,2,NA,3,21,3,4,NA,7,42,10,63,15.9
1985,"Nevada","NV",22,1,2,NA,3,21,3,4,NA,7,42,10,63,15.9
1984,"Nevada","NV",34,1,1,NA,2,21,2,2,NA,4,42,6,63,9.5
1983,"Nevada","NV",34,1,1,NA,2,21,2,2,NA,4,42,6,63,9.5
1981,"Nevada","NV",21,1,1,NA,2,20,3,2,NA,5,40,7,60,11.7
1979,"Nevada","NV",29,NA,NA,NA,1,20,NA,NA,NA,4,40,5,60,8.3
1977,"Nevada","NV",13,NA,NA,NA,2,20,NA,NA,NA,5,40,7,60,11.7
1975,"Nevada","NV",12,NA,NA,NA,3,20,NA,NA,NA,4,40,7,60,11.7
2014,"South Carolina","SC",49,0,1,NA,1,46,11,10,NA,21,124,22,170,12.9
2013,"South Carolina","SC",49,0,1,NA,1,46,11,10,NA,21,124,22,170,12.9
2012,"South Carolina","SC",50,0,0,NA,0,46,8,9,NA,17,124,17,170,10
2011,"South Carolina","SC",50,0,0,NA,0,46,8,8,NA,16,124,16,170,9.4
2010,"South Carolina","SC",50,0,0,NA,0,46,8,9,NA,17,124,17,170,10
2009,"South Carolina","SC",50,0,0,NA,0,46,9,8,NA,17,124,17,170,10
2008,"South Carolina","SC",50,1,1,NA,2,46,8,5,NA,13,124,15,170,8.8
2007,"South Carolina","SC",50,1,1,NA,2,46,8,5,NA,13,124,15,170,8.8
2006,"South Carolina","SC",50,1,0,NA,1,46,7,7,NA,14,124,15,170,8.8
2005,"South Carolina","SC",50,1,0,NA,1,46,6,7,NA,13,124,14,170,8.2
2004,"South Carolina","SC",50,2,0,NA,2,46,8,6,NA,14,124,16,170,9.4
2003,"South Carolina","SC",50,2,0,NA,2,46,7,7,NA,14,124,16,170,9.4
2002,"South Carolina","SC",48,2,0,NA,2,46,7,9,NA,16,124,18,170,10.6
2001,"South Carolina","SC",48,2,0,NA,2,46,7,9,NA,16,124,18,170,10.6
2000,"South Carolina","SC",48,2,0,NA,2,46,7,9,NA,16,124,18,170,10.6
1999,"South Carolina","SC",48,2,1,NA,3,46,6,10,NA,16,124,19,170,11.2
1998,"South Carolina","SC",44,2,1,NA,3,46,8,11,NA,19,124,22,170,12.9
1997,"South Carolina","SC",44,2,1,NA,3,46,8,11,NA,19,124,22,170,12.9
1996,"South Carolina","SC",44,2,1,NA,3,46,8,10,NA,18,124,21,170,12.4
1995,"South Carolina","SC",43,2,1,NA,3,46,8,10,NA,18,124,21,170,12.4
1994,"South Carolina","SC",40,2,1,NA,3,46,10,9,NA,19,124,22,170,12.9
1993,"South Carolina","SC",40,2,1,NA,3,46,10,9,NA,19,124,22,170,12.9
1992,"South Carolina","SC",36,1,1,NA,2,46,13,7,NA,20,124,22,170,12.9
1991,"South Carolina","SC",42,1,1,NA,2,46,12,5,NA,17,124,19,170,11.2
1990,"South Carolina","SC",43,1,1,NA,2,46,10,3,NA,13,124,15,170,8.8
1989,"South Carolina","SC",42,1,1,NA,2,46,10,4,NA,14,124,16,170,9.4
1988,"South Carolina","SC",44,1,1,NA,2,46,9,2,NA,11,124,13,170,7.6
1987,"South Carolina","SC",43,1,1,NA,2,46,9,2,NA,11,124,13,170,7.6
1986,"South Carolina","SC",47,2,0,NA,2,46,7,1,NA,8,124,10,170,5.9
1985,"South Carolina","SC",47,2,0,NA,2,46,7,1,NA,8,124,10,170,5.9
1984,"South Carolina","SC",44,2,1,NA,3,46,9,0,NA,9,124,12,170,7.1
1983,"South Carolina","SC",44,2,1,NA,3,46,9,0,NA,9,124,12,170,7.1
1981,"South Carolina","SC",42,1,1,NA,2,46,8,1,NA,9,124,11,170,6.5
1979,"South Carolina","SC",41,NA,NA,NA,0,46,NA,NA,NA,9,124,9,170,5.3
1977,"South Carolina","SC",35,NA,NA,NA,0,46,NA,NA,NA,10,124,10,170,5.9
1975,"South Carolina","SC",39,NA,NA,NA,0,46,NA,NA,NA,7,124,7,170,4.1
2014,"Arizona","AZ",3,7,6,NA,13,30,10,8,NA,18,60,31,90,34.4
2013,"Arizona","AZ",3,7,6,NA,13,30,11,8,NA,19,60,32,90,35.6
2012,"Arizona","AZ",4,4,7,NA,11,30,7,12,NA,19,60,30,90,33.3
2011,"Arizona","AZ",3,5,6,NA,11,30,7,13,NA,20,60,31,90,34.4
2010,"Arizona","AZ",7,7,4,NA,11,30,9,9,NA,18,60,29,90,32.2
2009,"Arizona","AZ",9,7,5,NA,12,30,9,7,NA,16,60,28,90,31.1
2008,"Arizona","AZ",6,8,6,NA,14,30,9,8,NA,17,60,31,90,34.4
2007,"Arizona","AZ",6,8,5,NA,13,30,9,8,NA,17,60,30,90,33.3
2006,"Arizona","AZ",3,4,5,NA,9,30,10,11,NA,21,60,30,90,33.3
2005,"Arizona","AZ",3,4,6,NA,10,30,10,10,NA,20,60,30,90,33.3
2004,"Arizona","AZ",14,3,5,NA,8,30,7,9,1,17,60,25,90,27.8
2003,"Arizona","AZ",13,3,5,NA,8,30,8,9,NA,17,60,25,90,27.8
2002,"Arizona","AZ",2,6,5,NA,11,30,10,11,NA,21,60,32,90,35.6
2001,"Arizona","AZ",2,6,4,NA,10,30,10,12,NA,22,60,32,90,35.6
2000,"Arizona","AZ",2,4,3,NA,7,30,9,16,NA,25,60,32,90,35.6
1999,"Arizona","AZ",3,4,3,NA,7,30,9,16,NA,25,60,32,90,35.6
1998,"Arizona","AZ",2,4,4,NA,8,30,8,17,NA,25,60,33,90,36.7
1997,"Arizona","AZ",2,4,4,NA,8,30,9,17,NA,26,60,34,90,37.8
1996,"Arizona","AZ",4,3,5,NA,8,30,7,12,NA,19,60,27,90,30
1995,"Arizona","AZ",4,3,5,NA,8,30,7,12,NA,19,60,27,90,30
1994,"Arizona","AZ",3,3,6,NA,9,30,9,12,NA,21,60,30,90,33.3
1993,"Arizona","AZ",2,3,6,NA,9,30,9,12,NA,21,60,30,90,33.3
1992,"Arizona","AZ",1,4,4,NA,8,30,10,13,NA,23,60,31,90,34.4
1991,"Arizona","AZ",1,4,4,NA,8,30,10,13,NA,23,60,31,90,34.4
1990,"Arizona","AZ",4,2,3,NA,5,30,9,13,NA,22,60,27,90,30
1989,"Arizona","AZ",4,2,3,NA,5,30,9,13,NA,22,60,27,90,30
1988,"Arizona","AZ",6,2,4,NA,6,30,6,9,NA,15,60,21,90,23.3
1987,"Arizona","AZ",6,2,4,NA,6,30,6,9,NA,15,60,21,90,23.3
1986,"Arizona","AZ",8,1,3,NA,4,30,5,9,NA,14,60,18,90,20
1985,"Arizona","AZ",8,1,3,NA,4,30,5,9,NA,14,60,18,90,20
1984,"Arizona","AZ",8,2,3,NA,5,30,5,9,NA,14,60,19,90,21.1
1983,"Arizona","AZ",8,2,3,NA,5,30,5,9,NA,14,60,19,90,21.1
1981,"Arizona","AZ",8,3,2,NA,5,30,4,8,NA,12,60,17,90,18.9
1979,"Arizona","AZ",4,NA,NA,NA,4,30,NA,NA,NA,13,60,17,90,18.9
1977,"Arizona","AZ",3,NA,NA,NA,6,30,NA,NA,NA,10,60,16,90,17.8
1975,"Arizona","AZ",2,NA,NA,NA,5,30,NA,NA,NA,13,60,18,90,20
2014,"Kansas","KS",25,4,8,NA,12,40,16,13,NA,29,125,41,165,24.8
2013,"Kansas","KS",25,4,8,NA,12,40,15,12,NA,27,125,39,165,23.6
2012,"Kansas","KS",16,4,8,NA,12,40,14,19,NA,33,125,45,165,27.3
2011,"Kansas","KS",16,4,8,NA,12,40,14,19,NA,33,125,45,165,27.3
2010,"Kansas","KS",12,5,9,NA,14,40,21,15,NA,36,125,50,165,30.3
2009,"Kansas","KS",13,5,8,NA,13,40,20,15,NA,35,125,48,165,29.1
2008,"Kansas","KS",15,4,9,NA,13,40,19,16,NA,35,125,48,165,29.1
2007,"Kansas","KS",14,4,9,NA,13,40,19,16,NA,35,125,48,165,29.1
2006,"Kansas","KS",7,4,9,NA,13,40,18,22,NA,40,125,53,165,32.1
2005,"Kansas","KS",8,4,9,NA,13,40,18,23,NA,41,125,54,165,32.7
2004,"Kansas","KS",13,3,7,NA,10,40,17,19,NA,36,125,46,165,27.9
2003,"Kansas","KS",11,3,8,NA,11,40,16,19,NA,35,125,46,165,27.9
2002,"Kansas","KS",6,3,10,NA,13,40,19,22,NA,41,125,54,165,32.7
2001,"Kansas","KS",6,3,10,NA,13,40,19,22,NA,41,125,54,165,32.7
2000,"Kansas","KS",5,4,10,NA,14,40,17,23,NA,40,125,54,165,32.7
1999,"Kansas","KS",5,4,10,NA,14,40,17,24,NA,41,125,55,165,33.3
1998,"Kansas","KS",9,4,10,NA,14,40,15,20,NA,35,125,49,165,29.7
1997,"Kansas","KS",9,4,10,NA,14,40,15,20,NA,35,125,49,165,29.7
1996,"Kansas","KS",10,3,11,NA,14,40,12,20,NA,32,125,46,165,27.9
1995,"Kansas","KS",10,3,11,NA,14,40,12,20,NA,32,125,46,165,27.9
1994,"Kansas","KS",8,3,11,NA,14,40,19,14,NA,33,125,47,165,28.5
1993,"Kansas","KS",8,3,11,NA,14,40,19,15,NA,34,125,48,165,29.1
1992,"Kansas","KS",9,5,4,NA,9,40,18,18,NA,36,125,45,165,27.3
