"YEAR","STATE.NAME","STATE.ABB","STATE.RANK","SENATE.D","SENATE.R","SENATE.I","SENATE.WOMEN","SENATE.TOTAL","HOUSE.D","HOUSE.R","HOUSE.I","HOUSE.WOMEN","HOUSE.TOTAL","TOTAL.WOMEN","TOTAL.LEGISLATURE","PERCENT.WOMEN"
1999,"Michigan","MI",21,2,3,NA,5,38,18,13,NA,31,110,36,148,24.3
1998,"Michigan","MI",23,2,1,NA,3,38,17,14,NA,31,110,34,148,23
1997,"Michigan","MI",23,2,1,NA,3,38,17,14,NA,31,110,34,148,23
1996,"Michigan","MI",22,2,1,NA,3,38,17,13,NA,30,110,33,148,22.3
1995,"Michigan","MI",22,2,1,NA,3,38,17,13,NA,30,110,33,148,22.3
1994,"Michigan","MI",25,2,1,NA,3,38,16,12,NA,28,110,31,148,20.9
1993,"Michigan","MI",24,2,1,NA,3,38,15,12,NA,27,110,30,148,20.3
1992,"Michigan","MI",30,2,1,NA,3,38,10,9,NA,19,110,22,148,14.9
1991,"Michigan","MI",30,2,1,NA,3,38,11,8,NA,19,110,22,148,14.9
1990,"Michigan","MI",30,1,1,NA,2,38,12,8,NA,20,110,22,148,14.9
1989,"Michigan","MI",30,1,1,NA,2,38,12,8,NA,20,110,22,148,14.9
1988,"Michigan","MI",28,1,1,NA,2,38,14,6,NA,20,110,22,148,14.9
1987,"Michigan","MI",28,1,1,NA,2,38,14,6,NA,20,110,22,148,14.9
1986,"Michigan","MI",35,1,1,NA,2,38,9,5,NA,14,110,16,148,10.8
1985,"Michigan","MI",35,1,1,NA,2,38,9,5,NA,14,110,16,148,10.8
1984,"Michigan","MI",32,1,1,NA,2,38,10,4,NA,14,110,16,148,10.8
1983,"Michigan","MI",32,1,1,NA,2,38,10,4,NA,14,110,16,148,10.8
1981,"Michigan","MI",24,0,0,NA,0,38,10,6,NA,16,110,16,148,10.8
1979,"Michigan","MI",30,NA,NA,NA,0,38,NA,NA,NA,12,110,12,148,8.1
1977,"Michigan","MI",38,NA,NA,NA,0,38,NA,NA,NA,8,110,8,148,5.4
1975,"Michigan","MI",26,NA,NA,NA,0,38,NA,NA,NA,9,110,9,148,6.1
